Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms),Opti Find At
100, 12220.00, 0.10, 0.20, 700, uniformCrossover, swapMutation, 5946, 0
100, 12400.00, 0.10, 0.30, 700, twoPointCrossover, swapMutation, 5936, 54
100, 12240.00, 0.10, 0.30, 700, uniformCrossover, swapMutation, 6152, 0
100, 12215.00, 0.10, 0.10, 700, twoPointCrossover, swapMutation, 6330, 0
100, 12200.00, 0.10, 0.10, 700, uniformCrossover, swapMutation, 6521, 0
100, 12350.00, 0.10, 0.20, 700, singlePointCrossover, swapMutation, 6541, 0
100, 12175.00, 0.10, 0.40, 700, uniformCrossover, swapMutation, 6448, 0
100, 12360.00, 0.10, 0.20, 700, twoPointCrossover, swapMutation, 6870, 0
100, 12270.00, 0.10, 0.30, 700, singlePointCrossover, swapMutation, 6867, 0
100, 12400.00, 0.10, 0.10, 700, singlePointCrossover, swapMutation, 7458, 19
100, 12400.00, 0.10, 0.40, 700, singlePointCrossover, swapMutation, 5965, 24
100, 12370.00, 0.10, 0.40, 700, twoPointCrossover, swapMutation, 6924, 0
100, 12220.00, 0.10, 0.50, 700, uniformCrossover, swapMutation, 6372, 0
100, 12400.00, 0.10, 0.10, 700, uniformCrossover, scrambleMutation, 24215, 80
100, 12400.00, 0.10, 0.10, 700, twoPointCrossover, inversionMutation, 24803, 32
100, 12370.00, 0.10, 0.10, 700, uniformCrossover, flipMutation, 25455, 0
100, 12400.00, 0.10, 0.10, 700, twoPointCrossover, scrambleMutation, 25688, 59
100, 12370.00, 0.10, 0.10, 700, twoPointCrossover, flipMutation, 27331, 0
100, 12400.00, 0.10, 0.10, 700, uniformCrossover, inversionMutation, 27737, 67
100, 12400.00, 0.10, 0.10, 700, singlePointCrossover, scrambleMutation, 28121, 31
100, 12400.00, 0.10, 0.10, 700, singlePointCrossover, inversionMutation, 28436, 13
100, 12340.00, 0.10, 0.20, 700, twoPointCrossover, flipMutation, 28709, 0
100, 12360.00, 0.10, 0.10, 700, singlePointCrossover, flipMutation, 29061, 0
100, 12400.00, 0.10, 0.20, 700, twoPointCrossover, inversionMutation, 29041, 99
100, 12370.00, 0.10, 0.30, 700, uniformCrossover, flipMutation, 29602, 0
100, 12390.00, 0.10, 0.20, 700, uniformCrossover, scrambleMutation, 30206, 0
100, 12400.00, 0.10, 0.20, 700, singlePointCrossover, inversionMutation, 30238, 71
100, 12400.00, 0.10, 0.20, 700, singlePointCrossover, flipMutation, 30353, 81
100, 12400.00, 0.10, 0.30, 700, uniformCrossover, inversionMutation, 30302, 96
100, 12400.00, 0.10, 0.30, 700, twoPointCrossover, flipMutation, 30294, 60
100, 12400.00, 0.10, 0.30, 700, uniformCrossover, scrambleMutation, 30343, 71
100, 12390.00, 0.10, 0.20, 700, uniformCrossover, inversionMutation, 30473, 0
100, 12290.00, 0.10, 0.50, 700, singlePointCrossover, swapMutation, 6595, 0
100, 12370.00, 0.10, 0.20, 700, uniformCrossover, flipMutation, 31030, 0
100, 12380.00, 0.10, 0.40, 700, uniformCrossover, scrambleMutation, 31457, 0
100, 12380.00, 0.10, 0.30, 700, singlePointCrossover, scrambleMutation, 31526, 0
100, 12400.00, 0.10, 0.40, 700, uniformCrossover, flipMutation, 31509, 98
100, 12400.00, 0.10, 0.30, 700, twoPointCrossover, inversionMutation, 31580, 39
100, 12400.00, 0.10, 0.30, 700, twoPointCrossover, scrambleMutation, 32696, 36
100, 12380.00, 0.10, 0.20, 700, twoPointCrossover, scrambleMutation, 32787, 0
100, 12400.00, 0.10, 0.40, 700, uniformCrossover, inversionMutation, 32955, 97
100, 12370.00, 0.10, 0.30, 700, singlePointCrossover, flipMutation, 33284, 0
100, 12280.00, 0.10, 0.50, 700, twoPointCrossover, swapMutation, 6198, 0
100, 12360.00, 0.10, 0.30, 700, singlePointCrossover, inversionMutation, 33552, 0
100, 12350.00, 0.10, 0.20, 700, singlePointCrossover, scrambleMutation, 34781, 0
100, 12380.00, 0.20, 0.10, 700, uniformCrossover, swapMutation, 6301, 0
100, 12400.00, 0.10, 0.40, 700, twoPointCrossover, scrambleMutation, 29072, 22
100, 12290.00, 0.20, 0.10, 700, singlePointCrossover, swapMutation, 5512, 0
100, 12400.00, 0.20, 0.10, 700, twoPointCrossover, swapMutation, 6333, 62
100, 12400.00, 0.20, 0.20, 700, uniformCrossover, swapMutation, 5779, 89
100, 12390.00, 0.10, 0.40, 700, singlePointCrossover, inversionMutation, 30545, 0
100, 12310.00, 0.10, 0.40, 700, singlePointCrossover, flipMutation, 31047, 0
100, 12400.00, 0.10, 0.40, 700, twoPointCrossover, inversionMutation, 30367, 64
100, 12350.00, 0.20, 0.20, 700, singlePointCrossover, swapMutation, 5973, 0
100, 12310.00, 0.10, 0.50, 700, uniformCrossover, flipMutation, 31340, 0
100, 12370.00, 0.10, 0.40, 700, twoPointCrossover, flipMutation, 32133, 0
100, 12380.00, 0.10, 0.40, 700, singlePointCrossover, scrambleMutation, 32807, 0
100, 12250.00, 0.20, 0.20, 700, twoPointCrossover, swapMutation, 6561, 0
100, 12380.00, 0.20, 0.30, 700, uniformCrossover, swapMutation, 5291, 0
100, 12250.00, 0.20, 0.30, 700, singlePointCrossover, swapMutation, 6260, 0
100, 12320.00, 0.20, 0.30, 700, twoPointCrossover, swapMutation, 5678, 0
100, 12390.00, 0.10, 0.50, 700, uniformCrossover, inversionMutation, 30837, 0
100, 12390.00, 0.10, 0.50, 700, uniformCrossover, scrambleMutation, 33471, 0
100, 12370.00, 0.10, 0.50, 700, singlePointCrossover, flipMutation, 31930, 0
100, 12400.00, 0.20, 0.40, 700, uniformCrossover, swapMutation, 6576, 9
100, 12250.00, 0.20, 0.40, 700, singlePointCrossover, swapMutation, 5487, 0
100, 12400.00, 0.10, 0.50, 700, twoPointCrossover, flipMutation, 28211, 34
100, 12400.00, 0.20, 0.40, 700, twoPointCrossover, swapMutation, 5142, 33
100, 12400.00, 0.10, 0.50, 700, twoPointCrossover, scrambleMutation, 30361, 57
