Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms)
30, 12135.00, 0.05, 0.20, 100, twoPointCrossover, scrambleMutation, 511
30, 12200.00, 0.05, 0.20, 100, twoPointCrossover, flipMutation, 643
30, 12050.00, 0.05, 0.40, 100, twoPointCrossover, scrambleMutation, 592
30, 12160.00, 0.05, 0.40, 100, singlePointCrossover, swapMutation, 677
30, 12280.00, 0.05, 0.40, 100, crossover, inversionMutation, 682
30, 12180.00, 0.05, 0.40, 100, singlePointCrossover, flipMutation, 684
30, 12080.00, 0.05, 0.20, 100, crossover, scrambleMutation, 709
30, 12170.00, 0.05, 0.40, 100, twoPointCrossover, flipMutation, 715
30, 11850.00, 0.05, 0.20, 100, singlePointCrossover, flipMutation, 725
30, 12270.00, 0.05, 0.20, 100, singlePointCrossover, swapMutation, 729
30, 12090.00, 0.05, 0.40, 100, twoPointCrossover, swapMutation, 735
30, 12300.00, 0.05, 0.40, 100, twoPointCrossover, inversionMutation, 744
30, 12120.00, 0.05, 0.20, 100, twoPointCrossover, inversionMutation, 782
30, 12075.00, 0.05, 0.20, 100, crossover, inversionMutation, 818
30, 12180.00, 0.05, 0.20, 100, twoPointCrossover, swapMutation, 863
30, 12100.00, 0.05, 0.40, 100, singlePointCrossover, inversionMutation, 888
30, 11960.00, 0.05, 0.20, 100, singlePointCrossover, inversionMutation, 906
30, 12040.00, 0.05, 0.20, 100, crossover, flipMutation, 908
30, 12115.00, 0.05, 0.40, 100, crossover, swapMutation, 932
30, 12180.00, 0.05, 0.40, 100, crossover, scrambleMutation, 939
30, 12190.00, 0.05, 0.20, 100, crossover, swapMutation, 981
30, 12180.00, 0.05, 0.40, 100, singlePointCrossover, scrambleMutation, 1001
30, 12020.00, 0.05, 0.20, 100, singlePointCrossover, scrambleMutation, 1023
30, 12180.00, 0.05, 0.60, 100, twoPointCrossover, swapMutation, 307
30, 11970.00, 0.05, 0.60, 100, singlePointCrossover, swapMutation, 358
30, 12180.00, 0.05, 0.60, 100, singlePointCrossover, flipMutation, 382
30, 12065.00, 0.05, 0.60, 100, crossover, flipMutation, 512
30, 12080.00, 0.05, 0.60, 100, crossover, scrambleMutation, 501
30, 12180.00, 0.05, 0.60, 100, twoPointCrossover, scrambleMutation, 452
30, 11980.00, 0.05, 0.60, 100, twoPointCrossover, flipMutation, 467
30, 12000.00, 0.05, 0.80, 100, crossover, swapMutation, 465
30, 12250.00, 0.05, 0.60, 100, singlePointCrossover, scrambleMutation, 575
30, 12180.00, 0.05, 0.60, 100, crossover, swapMutation, 661
30, 12290.00, 0.05, 0.80, 100, crossover, scrambleMutation, 482
30, 12110.00, 0.10, 0.20, 100, singlePointCrossover, swapMutation, 174
30, 12340.00, 0.05, 0.40, 100, crossover, flipMutation, 1402
30, 12180.00, 0.05, 0.60, 100, singlePointCrossover, inversionMutation, 721
30, 12150.00, 0.10, 0.20, 100, crossover, flipMutation, 431
30, 12075.00, 0.05, 0.80, 100, singlePointCrossover, inversionMutation, 546
30, 12240.00, 0.10, 0.20, 100, crossover, swapMutation, 453
