Iteration,Best Fitness,Elitism Rate,Mutation Rate,Population Size,Crossover Type,Mutation Type,Duration (ms)
90, 12390.00, 0.10, 0.10, 300, singlePointCrossover, inversionMutation, 14716
90, 12360.00, 0.10, 0.10, 300, twoPointCrossover, inversionMutation, 15112
90, 12330.00, 0.10, 0.10, 300, twoPointCrossover, scrambleMutation, 15202
90, 12360.00, 0.10, 0.10, 300, crossover, inversionMutation, 15305
90, 12320.00, 0.10, 0.10, 300, singlePointCrossover, scrambleMutation, 16427
90, 12400.00, 0.10, 0.20, 300, twoPointCrossover, scrambleMutation, 16501
90, 12400.00, 0.10, 0.15, 300, singlePointCrossover, inversionMutation, 16555
90, 12380.00, 0.10, 0.15, 300, crossover, scrambleMutation, 16581
90, 12380.00, 0.10, 0.25, 300, singlePointCrossover, inversionMutation, 16825
90, 12380.00, 0.10, 0.10, 300, crossover, scrambleMutation, 16972
90, 12380.00, 0.10, 0.25, 300, singlePointCrossover, scrambleMutation, 17048
90, 12400.00, 0.10, 0.15, 300, twoPointCrossover, inversionMutation, 17164
90, 12380.00, 0.10, 0.20, 300, twoPointCrossover, inversionMutation, 17316
90, 12380.00, 0.10, 0.15, 300, twoPointCrossover, scrambleMutation, 17911
90, 12380.00, 0.10, 0.20, 300, singlePointCrossover, inversionMutation, 18267
90, 12360.00, 0.10, 0.20, 300, singlePointCrossover, scrambleMutation, 18578
90, 12360.00, 0.10, 0.15, 300, singlePointCrossover, scrambleMutation, 18683
90, 12380.00, 0.10, 0.20, 300, crossover, inversionMutation, 18731
90, 12360.00, 0.10, 0.15, 300, crossover, inversionMutation, 18983
90, 12380.00, 0.10, 0.25, 300, twoPointCrossover, inversionMutation, 19220
90, 12380.00, 0.10, 0.20, 300, crossover, scrambleMutation, 19397
90, 12390.00, 0.10, 0.25, 300, crossover, inversionMutation, 20838
90, 12400.00, 0.15, 0.10, 300, crossover, scrambleMutation, 20995
90, 12380.00, 0.10, 0.25, 300, twoPointCrossover, scrambleMutation, 21135
